trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
220,ok,0.3434,1466.021498,,,elu,3,64,2,128,1,384,3,384,0.51778167918911,5.32529367561179E-05
221,ok,0.9,1553.28303,,,relu,1,80,1,160,3,320,2,512,2.89058756600838,0.000331295667766
222,ok,0.9,1418.834757,,,elu,1,80,2,160,3,192,2,512,1.54948002950116,0.00099319251846
223,ok,0.4304,2321.081288,,,elu,2,48,3,160,2,256,3,768,0.231811207074186,2.9293929718171E-05
224,ok,0.9,1072.553701,,,selu,3,80,2,64,2,128,2,256,2.72461228523595,4.01558299520453E-05
225,ok,0.4387,965.39355,,,rrelu,2,32,1,160,1,192,1,640,0.689271653805349,0.000448651591719
226,ok,0.9,1288.046001,,,elu,3,80,1,128,2,256,1,640,2.401780044485,0.000206297763397
227,ok,0.9,1082.4469,,,relu,1,96,2,96,1,128,2,512,2.71422929776332,6.82759786935972E-05
228,ok,0.9,1844.443562,,,elu,2,64,2,128,3,256,2,768,2.24286072092372,2.49090168475515E-05
229,ok,0.417,1295.060165,,,rrelu,2,48,2,160,2,256,2,384,2.10448307762684,0.000291322696854
230,ok,0.9,2281.669624,,,rrelu,2,80,2,96,2,320,3,768,2.46055522287404,3.83559826654689E-05
231,ok,0.9,1716.255152,,,selu,2,80,3,160,1,128,3,640,2.89116131729016,2.09754171968195E-05
232,ok,0.9,1501.412837,,,selu,2,64,3,64,3,256,2,512,2.37216573481364,0.000132520285548
233,ok,0.4814,877.930953,,,selu,1,80,1,96,1,192,1,512,0.144617030359283,0.000215578063787
234,ok,0.7524,910.097097,,,elu,1,32,2,96,1,384,2,256,0.713279593178,0.00043503878026
235,ok,0.4122,1452.606726,,,elu,3,48,2,160,2,192,2,512,1.28504340841355,0.000192308265396
236,ok,0.329,1081.76736,,,elu,3,48,2,96,2,128,2,384,0.283660066785223,0.000386263396106
237,ok,0.2909,1045.86577,,,relu,3,32,3,96,2,128,2,384,0.50950774083607,7.60538567111038E-05
238,ok,0.9,991.451365,,,relu,1,48,1,96,2,256,1,512,2.54432342308145,6.18105375573888E-05
239,ok,0.3725,1084.092467,,,relu,2,48,2,128,2,320,1,256,0.628690456767315,5.51775565220308E-05
240,ok,0.4364,1025.595039,,,relu,2,48,2,96,1,256,1,512,1.3687024759118,2.0204994855394E-05
241,ok,0.9,1374.748022,,,relu,3,64,3,96,2,192,3,384,2.95079139802517,2.70790815814032E-05
242,ok,0.4736,1406.321618,,,selu,2,48,2,128,2,256,1,768,0.992091461278541,4.08356808580618E-05
243,ok,0.5021,1495.200304,,,rrelu,2,64,3,96,3,320,3,256,1.59579629223212,0.000981358796286
244,ok,0.9,1242.131985,,,elu,3,96,1,64,2,256,2,384,1.88014798729943,0.00183252859472
245,ok,0.5027,1979.256685,,,rrelu,3,64,2,96,2,320,2,768,1.22411191522132,0.000337799669289
246,ok,0.9,1335.508596,,,elu,1,48,3,96,2,256,2,512,2.35014054026417,3.02869072888244E-05
247,ok,0.3503,937.508682,,,relu,3,64,2,128,1,128,1,384,1.88276422502327,4.53915665100849E-05
248,ok,0.3889,1406.977889,,,selu,3,80,2,160,3,192,2,256,0.136894725304513,0.001819521000511
249,ok,0.5433,1132.967782,,,rrelu,2,48,1,160,1,192,1,768,1.54966508291706,0.00163826632412
250,ok,0.9,1356.391859,,,elu,1,32,1,96,1,256,3,640,1.60566558259896,0.000978055106279
251,ok,0.9,1941.179124,,,rrelu,2,80,2,128,2,320,3,640,2.95458862334316,3.7074460920125E-05
